alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
3.0,composite,32,4,1,8,40,3240,11749.286434707104,5.405643071527967e-06,8.254066474755462e-08,0.6102252006530762
3.0,composite,32,4,1,32,160,3360,12197.145738828416,5.3750619473308745e-06,2.0656738985991296e-08,0.9232540130615234
3.0,composite,32,4,1,128,640,3840,13988.582955313661,5.367445625986339e-06,5.185731399848237e-09,2.2076010704040527
3.0,composite,32,4,2,8,80,6480,23498.57286941421,2.434198566464585e-07,4.123447994164309e-08,1.2003788948059082
3.0,composite,32,4,2,32,320,6720,24394.291477656832,2.2726281979160422e-07,1.030859353434721e-08,1.8334331512451172
3.0,composite,32,4,2,128,1280,7680,27977.165910627322,2.2339727783261748e-07,2.5771500489213395e-09,4.379364967346191
3.0,composite,32,4,4,8,160,12960,46997.14573882842,2.660563027151693e-08,2.0618776463976474e-08,2.4274630546569824
3.0,composite,32,4,4,32,640,13440,48788.582955313665,1.5486617369843376e-08,5.154791260508773e-09,3.66593599319458
3.0,composite,32,4,4,128,2560,15360,55954.331821254644,1.3331667065172586e-08,1.288846585012493e-09,8.753582954406738
3.0,composite,64,2,1,16,16,272,1006.1254587511546,0.0023010811353475534,5.29725909115264e-06,28.878546953201294
3.0,composite,64,2,1,64,64,320,1168.5018350046184,0.0023010803028322806,5.295541733563169e-06,0.27829504013061523
3.0,composite,64,2,1,256,256,512,1818.0073400184738,0.002301080094705202,5.295112412206926e-06,0.7855498790740967
3.0,composite,64,2,2,16,32,544,2012.2509175023092,0.0005377479243829106,2.903092213291103e-07,0.30141615867614746
3.0,composite,64,2,2,64,128,640,2337.003670009237,0.0005377475089803017,2.8945647367883964e-07,0.5549271106719971
3.0,composite,64,2,2,256,512,1024,3636.0146800369475,0.000537747405118622,2.892433375034642e-07,1.57818603515625
