alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
3.0,composite,64,2,4,256,1024,2048,7272.029360073895,0.00013227720108451537,1.7532799101438457e-08,3.17167329788208
3.0,composite,64,2,8,16,128,2176,8049.003670009237,3.2937106028740976e-05,1.3690837352697827e-09,1.181103229522705
3.0,composite,64,2,8,64,512,2560,9348.014680036948,3.293700214102397e-05,1.155922690898592e-09,2.2160849571228027
3.0,composite,64,2,8,256,2048,4096,14544.05872014779,3.293697613220353e-05,1.1027433410859544e-09,6.3280558586120605
3.0,composite,64,2,16,16,256,4352,16098.007340018474,8.226081139049434e-06,2.0987767079816422e-10,2.3553688526153564
3.0,composite,64,2,16,64,1024,5120,18696.029360073895,8.226029192279117e-06,1.0328116140101429e-10,4.353332996368408
3.0,composite,64,2,16,256,4096,8192,29088.11744029558,8.226016252830837e-06,7.643874422313957e-11,12.509421825408936
3.0,composite,64,4,1,16,80,6480,24070.627293755773,5.011715361767159e-06,2.58164367661351e-09,0.7504701614379883
3.0,composite,64,4,1,64,320,6720,24882.509175023093,5.0107821136554995e-06,6.642947303348024e-10,1.3589000701904297
3.0,composite,64,4,1,256,1280,7680,28130.03670009237,5.010548842051165e-06,1.8499490828105536e-10,3.911102056503296
3.0,composite,64,4,2,16,160,12960,48141.25458751155,2.0570705931014607e-07,1.273670502399682e-09,1.4979560375213623
3.0,composite,64,4,2,64,640,13440,49765.018350046186,2.0524042909516354e-07,3.184048580351373e-10,2.746006727218628
3.0,composite,64,4,2,256,2560,15360,56260.07340018474,2.0512398479016818e-07,7.967293491617511e-11,7.850967168807983
3.0,composite,64,4,4,16,320,25920,96282.5091750231,1.1986727070921107e-08,6.373270799997499e-10,2.974539041519165
3.0,composite,64,4,4,64,1280,26880,99530.03670009237,1.1749686207605928e-08,1.5973811162695029e-10,5.442365884780884
3.0,composite,64,4,4,256,5120,30720,112520.14680036948,1.169120619144742e-08,4.0387249100604095e-11,15.696932077407837
3.0,composite,128,2,1,32,32,544,1931.7230788490472,0.002300486067134458,5.292296902603688e-06,23.105540990829468
3.0,composite,128,2,1,128,128,640,2278.892315396189,0.0023004860449639224,5.292251223143474e-06,0.44106411933898926
3.0,composite,128,2,1,512,512,1024,3667.569261584756,0.002300486039424343,5.292239809939758e-06,1.477518081665039
3.0,composite,128,2,2,32,64,1088,3863.4461576980943,0.0005376501713703361,2.890982813141818e-07,0.38087916374206543
3.0,composite,128,2,2,128,256,1280,4557.784630792378,0.0005376501602167242,2.8907532123589874e-07,0.8891229629516602
3.0,composite,128,2,2,512,1024,2048,7335.138523169512,0.0005376501574584242,2.89069661985053e-07,2.949037790298462
3.0,composite,128,2,4,32,128,2176,7726.892315396189,0.00013225498625521118,1.7506666116773317e-08,0.7838881015777588
3.0,composite,128,2,4,128,512,2560,9115.569261584757,0.0001322549806737604,1.7495203619155575e-08,1.8039751052856445
3.0,composite,128,2,4,512,2048,4096,14670.277046339024,0.00013225497937565308,1.7492266302099324e-08,5.860882997512817
3.0,composite,128,2,8,32,256,4352,15453.784630792377,3.293153981721998e-05,1.0921007431718976e-09,1.5428121089935303
3.0,composite,128,2,8,128,1024,5120,18231.138523169513,3.29315370507764e-05,1.086423395690872e-09,3.5490150451660156
3.0,composite,128,2,8,512,4096,8192,29340.55409267805,3.2931536606075086e-05,1.0853951071254642e-09,11.739918231964111
3.0,composite,128,2,16,32,512,8704,30907.569261584755,8.224663215826146e-06,7.158851289545964e-11,3.0148329734802246
3.0,composite,128,2,16,128,2048,10240,36462.277046339026,8.224661853481056e-06,6.864830925934484e-11,7.09603214263916
