theta,p,pair,phi,se_phi,q,se_q,x,y,se_x,se_y,rate,se_rate,n,exact_phi,exact_q,exact_rate,exact_x,exact_y,sum_of_angles,ideal_phi,composed_q
0.47123889803846897,0.0,tn,-1.6142183548455533,0.018038080024136056,0.00017549274852796115,0.0006017082522388841,-0.043393148450244695,-0.9987067571936631,0.018048717748329637,0.0009143128708390256,0.20526666666666665,0.0023318966688243444,6158,-1.602567167632788,-2.220446049250313e-16,0.20435259536467718,-0.03176549626557598,-0.9994953492873304,-1.602567167632788,-1.6025671676327882,0.0
0.47123889803846897,0.0,nt,1.612330867864519,0.017975060907725042,-0.0004315897464822749,0.0003738301633596962,-0.04155844155844156,1.0,0.018006105708483194,0.0,0.20476666666666668,0.0023297873929387413,6143,1.602567167632788,1.1102230246251565e-16,0.20435259536467718,-0.03176549626557596,0.9994953492873297,1.602567167632788,1.6025671676327882,0.0
0.47123889803846897,0.0,nn,0.009538661409814329,0.028201557005626772,-2.2747377744658515e-05,0.00013451275053370665,1.0,0.009538950715421303,0.0,0.028204123109878364,0.0816,0.0015805214329454695,2448,-6.47917425268554e-17,0.0,0.08199487215484237,1.0,-6.47917425268554e-17,0.0,0.0,2.220446049250313e-16
0.5497787143782138,0.0,tt,0.02265285936475193,0.012448630025751146,-0.00012831544476399337,0.00014105884624435265,1.0,0.02265673494723774,0.0,0.012455020251604445,0.42673333333333335,0.0028555909811896823,12802,0.0,2.7755575615628914e-16,0.4259807083353987,0.9999999999999994,0.0,0.0,0.0,5.551115123125783e-16
0.5497787143782138,0.0,tn,-1.9447669628336866,0.014938396645583813,-0.0005631032600721397,0.004104226263046527,-0.36572592377073027,-0.9319325244155076,0.015877922569126894,0.0062393015583650496,0.2272,0.0024192296294481843,6816,-1.9481049284631742,3.3306690738754696e-16,0.2266912677256229,-0.36841972257594363,-0.9296595656567319,-1.9481049284631742,-1.948104928463174,1.6653345369377348e-16
0.5497787143782138,0.0,nt,1.9467370240531037,0.01518081994176967,0.006507401489958542,0.004295885593881009,-0.3623693379790941,0.9180567749487855,0.015884133024254368,0.00678310163494537,0.2287,0.0024248457682912532,6861,1.9481049284631742,0.0,0.22669126772562276,-0.36841972257594385,0.9296595656567326,1.9481049284631742,1.948104928463174,1.6653345369377348e-16
0.5497787143782138,0.0,nn,-0.03861715578706775,0.023790023429185195,-0.00037305298023426747,0.0004599228934396723,1.0,-0.038636363636363635,0.0,0.023825536429035576,0.11736666666666666,0.0018582404959371487,3521,0.0,0.0,0.12063675621335555,1.0,0.0,0.0,0.0,-2.220446049250313e-16
0.6283185307179586,0.0,tt,0.012289883996102374,0.013644414241250968,-3.7762688707365655e-05,8.385468835119973e-05,1.0,0.012290502793296089,0.0,0.01364647531815018,0.36096666666666666,0.002772903004808151,10829,-9.501394647715665e-17,4.440892098500626e-16,0.3651513362606978,0.9999999999999991,-9.501394647715656e-17,0.0,0.0,0.0
0.6283185307179586,0.0,tn,-2.3171149161626983,0.011902350803235175,0.001120234425293909,0.005903928721485281,-0.6774193548387096,-0.7325483599663583,0.012268473541120801,0.01139920715712986,0.23876666666666665,0.0024614165674502393,7163,-2.323957291823865,2.220446049250313e-16,0.2391261962197823,-0.683948193736258,-0.7295305807743149,-2.323957291823865,-2.323957291823865,1.6653345369377348e-16
0.6283185307179586,0.0,nt,2.3408928422045188,0.011635160262099554,-0.002150018883674054,0.0058361008096944915,-0.6991982305778269,0.7209302325581395,0.011889073336937237,0.011464464023845216,0.2424,0.002474147934138135,7272,2.3239572918238647,1.1102230246251565e-16,0.2391261962197823,-0.6839481937362579,0.7295305807743153,2.323957291823865,2.323957291823865,1.6653345369377348e-16
