theta,p,cls,prob,phi,q,leak,covariance,unitarity,nontrivial_spread,prob_paper,phi_paper,q_paper,phi_ideal,prob_ideal
0.1718058482431918,0.0,n,0.007093423332414512,0.5154175447295747,2.6645352591003757e-15,2.6020852139652106e-18,3.3072894708450744e-17,3.8163916471489756e-17,4.882715046532749e-17,0.007093423332414472,0.5154175447295752,5.551115123125783e-17,0.5154175447295755,0.007093423332414469
0.19634954084936207,0.0,t,0.9359296083845579,-0.013367075646589552,-4.440892098500626e-16,4.440892098500626e-16,5.645815694405449e-16,7.771561172376096e-16,2.9541276310451896e-17,0.9359296083845573,-0.013367075646589592,-1.1102230246251565e-16,-0.013367075646589593,0.9359296083845573
0.19634954084936207,0.0,n,0.009152913087920394,0.5890486225480864,-9.992007221626409e-16,3.469446951953614e-18,2.1534037998351533e-17,1.734723475976807e-17,2.9541276310451896e-17,0.009152913087920387,0.5890486225480863,0.0,0.5890486225480862,0.009152913087920388
0.22089323345553233,0.0,t,0.9200235309107974,-0.01907369315031914,-5.551115123125783e-16,2.220446049250313e-16,8.376194990831243e-16,1.1102230246251565e-15,4.3558488515732945e-17,0.9200235309107975,-0.01907369315031915,0.0,-0.01907369315031915,0.9200235309107975
0.22089323345553233,0.0,n,0.011425209869886103,0.6626797003665957,5.551115123125783e-17,3.469446951953614e-18,3.678740049251982e-17,1.734723475976807e-18,4.3558488515732945e-17,0.011425209869886075,0.662679700366597,-2.220446049250313e-16,0.662679700366597,0.011425209869886079
0.2454369260617026,0.0,t,0.9027809884730378,-0.02622453259441873,-3.3306690738754696e-16,3.3306690738754696e-16,8.348510538389466e-16,6.661338147750939e-16,3.4737810535209724e-17,0.902780988473038,-0.026224532594418704,0.0,-0.026224532594418704,0.902780988473038
0.2454369260617026,0.0,n,0.013888430218137456,0.7363107781851076,5.551115123125783e-16,5.204170427930421e-18,2.0816681711721685e-17,1.5612511283791264e-17,3.4737810535209724e-17,0.013888430218137428,0.736310778185108,0.0,0.7363107781851076,0.013888430218137428
0.2699806186678728,0.0,t,0.8843680361806878,-0.03498864666149699,-1.1102230246251565e-16,2.220446049250313e-16,3.6584330695069627e-16,2.220446049250313e-16,4.291468873614597e-17,0.884368036180687,-0.03498864666149702,0.0,-0.03498864666149702,0.884368036180687
0.2699806186678728,0.0,n,0.016518851974187593,0.8099418560036192,4.440892098500626e-16,3.469446951953614e-18,1.4821483875836085e-17,1.3877787807814457e-17,4.291468873614597e-17,0.016518851974187565,0.809941856003618,-3.3306690738754696e-16,0.8099418560036185,0.01651885197418757
0.2945243112740431,0.0,t,0.8649620008298633,-0.04553582657817217,-6.661338147750939e-16,2.220446049250313e-16,1.125088790541794e-15,1.2212453270876722e-15,3.1237066935462504e-17,0.8649620008298633,-0.04553582657817216,0.0,-0.04553582657817216,0.8649620008298634
0.2945243112740431,0.0,n,0.019291142738590956,0.8835729338221294,-3.3306690738754696e-16,6.938893903907228e-18,2.2254025389715912e-17,1.3877787807814457e-17,3.1237066935462504e-17,0.019291142738590956,0.8835729338221293,3.3306690738754696e-16,0.8835729338221294,0.019291142738590943
0.3190680038802134,0.0,t,0.844749773149414,-0.058035538180270005,-4.440892098500626e-16,3.3306690738754696e-16,7.326106215148024e-16,7.771561172376096e-16,4.864190610302088e-17,0.8447497731494137,-0.05803553818027006,0.0,-0.05803553818027003,0.8447497731494136
0.3190680038802134,0.0,n,0.02217860383579808,0.9572040116406401,1.6653345369377348e-16,6.938893903907228e-18,4.85722573273506e-17,6.938893903907228e-18,4.864190610302088e-17,0.022178603835798043,0.9572040116406402,-1.1102230246251565e-16,0.9572040116406402,0.022178603835798054
0.3436116964863836,0.0,t,0.8239260079410285,-0.07265543841958132,5.551115123125783e-17,2.220446049250313e-16,5.016321204790865e-16,1.1102230246251565e-16,5.561946577567963e-17,0.8239260079410281,-0.07265543841958128,0.0,-0.07265543841958122,0.8239260079410281
0.3436116964863836,0.0,n,0.025153427436996004,1.030835089459151,2.220446049250313e-16,3.469446951953614e-18,2.7755575615628914e-17,1.0408340855860843e-17,5.561946577567963e-17,0.025153427436995984,1.0308350894591507,-2.220446049250313e-16,1.030835089459151,0.02515342743699599
0.36815538909255385,0.0,t,0.802691249447091,-0.0895594000895676,-3.3306690738754696e-16,2.220446049250313e-16,3.981753620920851e-16,5.551115123125783e-16,3.594060700978206e-17,0.8026912494470915,-0.0895594000895676,5.551115123125783e-17,-0.08955940008956756,0.8026912494470915
0.36815538909255385,0.0,n,0.028186964364701198,1.104466167277662,-8.881784197001252e-16,6.938893903907228e-18,2.7809732887839817e-17,5.204170427930421e-17,3.594060700978206e-17,0.02818696436470122,1.1044661672776614,-1.1102230246251565e-16,1.1044661672776614,0.028186964364701226
0.39269908169872414,0.0,t,0.7812499999999999,-0.10890497249039631,-3.3306690738754696e-16,1.1102230246251565e-16,2.0140729741907603e-16,5.551115123125783e-16,4.170558093378777e-17,0.78125,-0.10890497249039632,5.551115123125783e-17,-0.10890497249039632,0.78125
0.39269908169872414,0.0,n,0.031249999999999997,1.1780972450961733,-3.3306690738754696e-16,6.938893903907228e-18,2.949029909160572e-17,1.734723475976807e-17,4.170558093378777e-17,0.03125,1.1780972450961724,1.1102230246251565e-16,1.1780972450961724,0.031249999999999997
0.4172427743048944,0.0,t,0.7598087505529093,-0.1308402120300039,-3.3306690738754696e-16,2.220446049250313e-16,5.026748538604307e-16,4.440892098500626e-16,6.628369094757308e-17,0.7598087505529086,-0.13084021203000384,0.0,-0.13084021203000376,0.7598087505529086
0.4172427743048944,0.0,n,0.034313035635298784,1.2517283229146836,-7.771561172376096e-16,6.938893903907228e-18,2.919021628607266e-17,5.551115123125783e-17,6.628369094757308e-17,0.034313035635298764,1.2517283229146832,-1.1102230246251565e-16,1.2517283229146834,0.03431303563529877
0.44178646691106466,0.0,t,0.7385739920589726,-0.1554998322369214,0.0,2.220446049250313e-16,3.469446951953614e-16,0.0,4.177767360805209e-17,0.738573992058972,-0.15549983223692143,0.0,-0.15549983223692143,0.738573992058972
0.44178646691106466,0.0,n,0.03734657256300404,1.3253594007331941,-2.220446049250313e-16,6.938893903907228e-18,2.9034283299119086e-17,1.3877787807814457e-17,4.177767360805209e-17,0.037346572563004,1.3253594007331937,0.0,1.325359400733194,0.037346572563004006
0.4663301595172349,0.0,t,0.7177502268505871,-0.18300065060493292,-1.1102230246251565e-16,2.220446049250313e-16,5.203058462404218e-16,1.1102230246251565e-16,6.958382176060062e-17,0.7177502268505864,-0.18300065060493279,5.551115123125783e-17,-0.18300065060493284,0.7177502268505864
0.4663301595172349,0.0,n,0.04032139616420199,1.3989904785517049,1.1102230246251565e-16,1.3877787807814457e-17,4.163336342344337e-17,6.938893903907228e-18,6.958382176060062e-17,0.04032139616420194,1.3989904785517044,0.0,1.3989904785517047,0.04032139616420194
0.4908738521234052,0.0,t,0.6975379991701367,-0.21343635338768013,0.0,3.3306690738754696e-16,1.1102230246251565e-16,0.0,3.1031676915590914e-17,0.6975379991701367,-0.2134363533876802,0.0,-0.2134363533876801,0.6975379991701366
