theta,p,cls,p_plus,se,n,rate,se_rate,exact,exact_rate
0.06544984694978735,0.02,t,1.0,0.0,8591,0.8591,0.0034791836686211323,0.9999296832978721,0.8618474438880135
0.06544984694978735,0.02,n,0.9410929737402414,0.006274779770050539,1409,0.1409,0.0034791836686211323,0.9392730682453275,0.1381525561119865
0.1308996938995747,0.02,t,0.9997626676159962,0.00016780937940614232,8427,0.8427,0.003640833833066266,0.9998769068751788,0.8432864888449518
0.1308996938995747,0.02,n,0.9281627463445645,0.006512693743616581,1573,0.1573,0.003640833833066266,0.9275507391708843,0.15671351115504817
0.19634954084936207,0.02,t,0.9996306783208174,0.00021320171614120975,8123,0.8123,0.0039047241900036934,0.9997000069473068,0.8137602732835705
0.19634954084936207,0.02,n,0.9078316462440064,0.006678472732548532,1877,0.1877,0.0039047241900036934,0.9028798458522453,0.18623972671642952
0.2617993877991494,0.02,t,0.9989830939366976,0.00035937057678960406,7867,0.7867,0.00409637779019465,0.9991900079051603,0.7752809599999997
0.2617993877991494,0.02,n,0.863103609939053,0.007444471375246279,2133,0.2133,0.004096377790194649,0.8631733241527253,0.22471904000000031
0.32724923474893675,0.02,t,0.9972707423580787,0.0006094887738051356,7328,0.7328,0.004424976384117773,0.997900912637643,0.7304708506044425
0.32724923474893675,0.02,n,0.8068862275449102,0.007637932768500513,2672,0.2672,0.004424976384117773,0.8092707225293037,0.2695291493955575
0.39269908169872414,0.02,t,0.9937509082982124,0.0009500642997433534,6881,0.6881,0.0046326924137050154,0.9950004955069959,0.6823836799999999
0.39269908169872414,0.02,n,0.7637063161269637,0.00760766170543599,3119,0.3119,0.0046326924137050154,0.7438088050163182,0.31761632000000006
0.4581489286485115,0.02,t,0.9862327909887358,0.0014575661143937386,6392,0.6392,0.0048023261030463145,0.9891134000525574,0.6342965093955568
0.4581489286485115,0.02,n,0.6696230598669624,0.007831536793658132,3608,0.3608,0.0048023261030463145,0.6702294406424579,0.3657034906044432
0.5235987755982988,0.02,t,0.9787341772151898,0.001874415847158305,5925,0.5925,0.004913692603327969,0.9782393702554426,0.5894863999999996
0.5235987755982988,0.02,n,0.5887116564417177,0.007709283306157046,4075,0.4075,0.004913692603327969,0.5922646109431364,0.41051360000000037
0.5890486225480862,0.02,t,0.9618081180811808,0.002603575482186158,5420,0.542,0.004982328772772829,0.9598996043554893,0.5510070867164286
0.5890486225480862,0.02,n,0.5126637554585153,0.0073866129256044905,4580,0.458,0.004982328772772829,0.5136929647764702,0.4489929132835714
0.6544984694978735,0.02,t,0.9290753098188751,0.0035448090157321707,5245,0.5245,0.004993993892667471,0.931690894793,0.5214808711550476
0.6544984694978735,0.02,n,0.4485804416403786,0.00721326124457726,4755,0.4755,0.004993993892667471,0.43819953333640244,0.4785191288449524
0.7199483164476609,0.02,t,0.8919673111421168,0.004383018443611352,5017,0.5017,0.0049999710999164785,0.8922780558925503,0.5029199161119858
0.7199483164476609,0.02,n,0.36845273931366646,0.006834267304966128,4983,0.4983,0.0049999710999164785,0.36926520384041295,0.49708008388801417
0.7853981633974483,0.02,t,0.8392677529672098,0.005209830357452791,4971,0.4971,0.004999915899292707,0.8424565936341049,0.4965891199999998
0.7853981633974483,0.02,n,0.3119904553589183,0.0065338664148373695,5029,0.5029,0.004999915899292707,0.31006253725198196,0.5034108800000002
0.8508480103472356,0.02,t,0.7892963330029732,0.005742070899416345,5045,0.5045,0.004999797495899209,0.785544223448642,0.5029199161119857
0.8508480103472356,0.02,n,0.2557013118062563,0.006198150305347054,4955,0.4955,0.004999797495899209,0.26335296137164943,0.4970800838880143
0.916297857297023,0.02,t,0.7199921290830382,0.006299040441094966,5082,0.5082,0.004999327554781743,0.7265879500873993,0.5214808711550476
0.916297857297023,0.02,n,0.23058153721024804,0.006006804017984547,4918,0.4918,0.004999327554781743,0.2313843121281392,0.4785191288449524
0.9817477042468102,0.02,t,0.6648906852838508,0.006398661052782685,5443,0.5443,0.004980336434418864,0.6707563600363247,0.5510070867164286
0.9817477042468102,0.02,n,0.2106649111257406,0.006041363246324425,4557,0.4557,0.004980336434418864,0.2157845919204518,0.4489929132835714
1.0471975511965976,0.02,t,0.6293999329534026,0.006253323104509897,5966,0.5966,0.00490579697908505,0.6219141505060678,0.5894863999999996
1.0471975511965976,0.02,n,0.2084779375309866,0.006396574350790844,4034,0.4034,0.00490579697908505,0.2174389938940876,0.41051360000000037
1.112647398146385,0.02,t,0.5878238753775235,0.006206399165885751,6291,0.6291,0.004830457431755299,0.582058255687894,0.6342965093955565
1.112647398146385,0.02,n,0.24750606632515504,0.007087197945508858,3709,0.3709,0.004830457431755299,0.23632056779157912,0.3657034906044435
1.1780972450961724,0.02,t,0.5521015761821366,0.006007894210272358,6852,0.6852,0.00464436174301701,0.5515431966990694,0.6823836799999994
1.1780972450961724,0.02,n,0.27573062261753495,0.007966071331528655,3148,0.3148,0.00464436174301701,0.27121704162046656,0.3176163200000006
1.2435470920459597,0.02,t,0.5321741511500547,0.005838729357409437,7304,0.7304,0.004437520028123817,0.5296400369191947,0.7304708506044425
1.2435470920459597,0.02,n,0.31194362017804156,0.008924228512791413,2696,0.2696,0.004437520028123817,0.3192618785952686,0.2695291493955575
1.308996938995747,0.02,t,0.5105229180116204,0.005680559726503093,7745,0.7745,0.004179111747728218,0.5150608149522764,0.7752809599999997
1.308996938995747,0.02,n,0.38625277161862526,0.01025542399903486,2255,0.2255,0.004179111747728218,0.37518912068410826,0.22471904000000031
1.3744467859455345,0.02,t,0.5082913646972116,0.005541126705687549,8141,0.8141,0.0038902595029123694,0.5063082402165653,0.8137602732835705
1.3744467859455345,0.02,n,0.42173211403980637,0.01145671260611612,1859,0.1859,0.0038902595029123702,0.43051362920079816,0.18623972671642952
1.4398966328953218,0.02,t,0.49213911386374465,0.005456397160989819,8396,0.8396,0.0036697662050871847,0.5018584249966619,0.8432864888449518
1.4398966328953218,0.02,n,0.4769326683291771,0.012475000533433376,1604,0.1604,0.0036697662050871847,0.4739386207592694,0.15671351115504817
1.505346479845109,0.02,t,0.4969296721121539,0.005382157694353636,8631,0.8631,0.0034374174899188493,0.5002314566607096,0.8618474438880135
1.505346479845109,0.02,n,0.4813732651570489,0.013509067908344347,1369,0.1369,0.003437417489918849,0.4961633403146859,0.1381525561119865
1.5707963267948966,0.02,t,0.5037965945697193,0.0053631829141920885,8692,0.8692,0.003371814941541128,0.5,0.8681782399999997
1.5707963267948966,0.02,n,0.49617737003058104,0.013829915223459513,1308,0.1308,0.003371814941541128,0.5000000000000004,0.13182176000000034
