n,state,k_star,learned,copies,negatives
12,108,12,1,49,1
12,109,12,1,49,1
12,110,13,1,53,5
12,111,12,1,49,3
12,112,12,1,49,4
12,113,14,1,57,3
12,114,13,1,53,1
12,115,12,1,49,0
12,116,14,1,57,3
12,117,13,1,53,2
12,118,12,1,49,2
12,119,13,1,53,0
12,120,13,1,53,3
12,121,12,1,49,3
12,122,18,1,73,2
12,123,12,1,49,2
12,124,13,1,53,1
12,125,14,1,57,2
12,126,14,1,57,3
12,127,15,1,61,0
12,128,13,1,53,0
12,129,13,1,53,1
12,130,12,1,49,1
12,131,15,1,61,2
12,132,12,1,49,2
12,133,12,1,49,1
12,134,12,1,49,3
12,135,14,1,57,2
12,136,12,1,49,2
12,137,14,1,57,0
12,138,13,1,53,1
12,139,13,1,53,0
12,140,14,1,57,1
12,141,17,1,69,2
12,142,12,1,49,0
12,143,12,1,49,1
12,144,14,1,57,1
12,145,14,1,57,1
12,146,16,1,65,2
12,147,13,1,53,1
12,148,12,1,49,1
12,149,14,1,57,5
12,150,13,1,53,2
12,151,12,1,49,2
12,152,13,1,53,3
12,153,15,1,61,6
12,154,15,1,61,3
12,155,13,1,53,1
12,156,13,1,53,1
12,157,15,1,61,2
12,158,12,1,49,0
12,159,14,1,57,2
12,160,13,1,53,0
12,161,13,1,53,2
12,162,12,1,49,2
12,163,12,1,49,1
12,164,14,1,57,0
12,165,15,1,61,4
12,166,13,1,53,3
12,167,15,1,61,1
12,168,14,1,57,1
12,169,14,1,57,0
12,170,12,1,49,2
12,171,13,1,53,2
12,172,14,1,57,1
12,173,12,1,49,4
12,174,13,1,53,2
12,175,12,1,49,1
12,176,16,1,65,3
12,177,14,1,57,2
12,178,15,1,61,1
12,179,13,1,53,0
12,180,13,1,53,3
12,181,12,1,49,0
12,182,12,1,49,2
12,183,12,1,49,3
12,184,13,1,53,2
12,185,12,1,49,1
12,186,13,1,53,2
12,187,13,1,53,2
12,188,13,1,53,2
12,189,16,1,65,2
12,190,18,1,73,2
12,191,14,1,57,2
12,192,17,1,69,0
12,193,13,1,53,0
12,194,15,1,61,0
12,195,12,1,49,2
12,196,13,1,53,1
12,197,13,1,53,2
12,198,14,1,57,3
12,199,12,1,49,1
16,0,17,1,69,0
16,1,17,1,69,2
16,2,18,1,73,2
16,3,18,1,73,1
16,4,19,1,77,1
16,5,19,1,77,1
16,6,19,1,77,2
16,7,17,1,69,0
16,8,17,1,69,4
16,9,16,1,65,2
16,10,16,1,65,0
16,11,18,1,73,1
16,12,18,1,73,4
16,13,17,1,69,2
16,14,18,1,73,3
16,15,22,1,89,2
16,16,18,1,73,3
16,17,19,1,77,2
16,18,18,1,73,3
16,19,19,1,77,1
16,20,17,1,69,2
16,21,21,1,85,0
16,22,16,1,65,2
16,23,17,1,69,3
16,24,17,1,69,1
16,25,17,1,69,3
16,26,17,1,69,1
16,27,19,1,77,2
16,28,16,1,65,1
16,29,17,1,69,1
16,30,20,1,81,4
16,31,21,1,85,3
16,32,16,1,65,0
16,33,17,1,69,2
16,34,16,1,65,0
16,35,19,1,77,3
16,36,20,1,81,2
16,37,19,1,77,2
16,38,18,1,73,0
16,39,19,1,77,5
16,40,17,1,69,5
16,41,23,1,93,1
16,42,18,1,73,0
16,43,18,1,73,1
16,44,20,1,81,4
16,45,17,1,69,1
16,46,17,1,69,5
16,47,16,1,65,2
16,48,20,1,81,2
16,49,17,1,69,1
16,50,16,1,65,3
16,51,19,1,77,7
16,52,20,1,81,6
16,53,17,1,69,5
16,54,17,1,69,4
16,55,16,1,65,2
16,56,17,1,69,0
16,57,16,1,65,0
16,58,19,1,77,1
16,59,22,1,89,1
16,60,16,1,65,2
16,61,18,1,73,3
16,62,17,1,69,0
16,63,17,1,69,3
16,64,19,1,77,6
16,65,16,1,65,5
16,66,17,1,69,3
16,67,16,1,65,1
16,68,16,1,65,5
16,69,17,1,69,1
16,70,17,1,69,1
16,71,17,1,69,4
16,72,18,1,73,1
16,73,18,1,73,5
16,74,18,1,73,1
16,75,16,1,65,2
16,76,16,1,65,5
16,77,18,1,73,2
16,78,18,1,73,4
16,79,17,1,69,1
16,80,18,1,73,1
16,81,21,1,85,1
16,82,19,1,77,3
16,83,16,1,65,5
16,84,20,1,81,2
16,85,18,1,73,2
16,86,16,1,65,1
16,87,20,1,81,4
16,88,16,1,65,0
16,89,19,1,77,4
16,90,16,1,65,2
16,91,18,1,73,3
16,92,16,1,65,0
16,93,16,1,65,1
16,94,17,1,69,3
16,95,18,1,73,1
16,96,16,1,65,2
16,97,17,1,69,0
16,98,18,1,73,5
16,99,17,1,69,0
16,100,17,1,69,1
16,101,17,1,69,4
16,102,18,1,73,3
16,103,19,1,77,1
16,104,16,1,65,2
16,105,17,1,69,2
16,106,16,1,65,2
16,107,18,1,73,3
16,108,18,1,73,4
16,109,16,1,65,2
16,110,16,1,65,4
16,111,18,1,73,3
16,112,17,1,69,1
16,113,18,1,73,6
16,114,19,1,77,2
16,115,24,1,97,1
16,116,17,1,69,2
16,117,17,1,69,1
16,118,17,1,69,4
16,119,16,1,65,4
16,120,17,1,69,1
16,121,16,1,65,2
16,122,18,1,73,2
16,123,20,1,81,2
16,124,16,1,65,2
16,125,16,1,65,3
16,126,16,1,65,0
16,127,18,1,73,3
16,128,17,1,69,2
16,129,17,1,69,2
16,130,18,1,73,3
16,131,19,1,77,2
16,132,17,1,69,2
16,133,20,1,81,1
16,134,16,1,65,1
16,135,20,1,81,7
16,136,20,1,81,6
16,137,18,1,73,6
16,138,17,1,69,2
16,139,16,1,65,0
16,140,16,1,65,0
16,141,16,1,65,9
16,142,17,1,69,1
16,143,17,1,69,1
16,144,17,1,69,1
16,145,16,1,65,8
16,146,20,1,81,1
16,147,19,1,77,0
16,148,21,1,85,2
16,149,18,1,73,4
16,150,17,1,69,2
16,151,19,1,77,1
16,152,17,1,69,0
16,153,16,1,65,3
16,154,16,1,65,2
16,155,17,1,69,2
16,156,17,1,69,2
16,157,18,1,73,0
16,158,16,1,65,4
16,159,17,1,69,2
16,160,20,1,81,3
16,161,17,1,69,3
16,162,18,1,73,1
16,163,17,1,69,2
16,164,17,1,69,2
16,165,17,1,69,0
16,166,18,1,73,1
16,167,16,1,65,2
16,168,18,1,73,5
16,169,18,1,73,3
16,170,18,1,73,2
16,171,17,1,69,2
16,172,16,1,65,3
16,173,20,1,81,4
16,174,16,1,65,1
16,175,17,1,69,2
16,176,17,1,69,6
16,177,18,1,73,1
16,178,16,1,65,1
16,179,16,1,65,4
16,180,17,1,69,4
16,181,21,1,85,2
16,182,16,1,65,1
16,183,16,1,65,2
16,184,18,1,73,1
16,185,17,1,69,0
16,186,21,1,85,2
16,187,17,1,69,2
16,188,19,1,77,1
16,189,17,1,69,1
16,190,18,1,73,1
16,191,16,1,65,4
16,192,16,1,65,2
16,193,21,1,85,1
16,194,18,1,73,2
16,195,17,1,69,3
16,196,17,1,69,4
16,197,18,1,73,5
16,198,17,1,69,1
16,199,19,1,77,1
24,0,25,1,101,2
24,1,24,1,97,3
24,2,24,1,97,2
24,3,28,1,113,1
24,4,25,1,101,3
24,5,26,1,105,3
24,6,27,1,109,3
24,7,29,1,117,3
24,8,27,1,109,4
24,9,25,1,101,2
24,10,25,1,101,3
24,11,26,1,105,3
24,12,26,1,105,2
24,13,29,1,117,1
24,14,24,1,97,4
24,15,24,1,97,3
24,16,32,1,129,2
24,17,27,1,109,3
24,18,24,1,97,5
24,19,24,1,97,6
24,20,26,1,105,3
24,21,26,1,105,4
24,22,28,1,113,4
24,23,24,1,97,9
24,24,25,1,101,9
24,25,24,1,97,3
24,26,25,1,101,5
24,27,24,1,97,2
24,28,26,1,105,0
24,29,26,1,105,1
24,30,25,1,101,2
24,31,25,1,101,3
24,32,28,1,113,5
24,33,27,1,109,0
24,34,26,1,105,4
24,35,26,1,105,2
24,36,27,1,109,5
24,37,24,1,97,3
24,38,28,1,113,4
24,39,24,1,97,4
24,40,24,1,97,1
24,41,24,1,97,2
24,42,24,1,97,2
24,43,24,1,97,4
24,44,26,1,105,2
24,45,26,1,105,5
24,46,27,1,109,7
24,47,24,1,97,2
24,48,24,1,97,6
24,49,24,1,97,7
24,50,24,1,97,4
24,51,27,1,109,4
24,52,24,1,97,1
24,53,28,1,113,3
24,54,24,1,97,5
24,55,25,1,101,6
24,56,27,1,109,6
24,57,27,1,109,8
24,58,24,1,97,4
24,59,25,1,101,1
24,60,26,1,105,1
24,61,26,1,105,3
24,62,25,1,101,3
24,63,26,1,105,2
24,64,25,1,101,3
24,65,24,1,97,6
24,66,25,1,101,1
24,67,26,1,105,8
24,68,26,1,105,4
24,69,24,1,97,3
24,70,25,1,101,7
24,71,29,1,117,3
24,72,27,1,109,3
24,73,25,1,101,3
24,74,29,1,117,3
24,75,24,1,97,4
24,76,30,1,121,4
24,77,29,1,117,3
24,78,25,1,101,2
24,79,27,1,109,9
24,80,24,1,97,2
24,81,24,1,97,4
24,82,25,1,101,2
24,83,27,1,109,2
24,84,25,1,101,6
24,85,26,1,105,5
24,86,26,1,105,6
24,87,25,1,101,3
24,88,28,1,113,4
24,89,26,1,105,4
24,90,24,1,97,1
24,91,25,1,101,4
24,92,25,1,101,2
24,93,24,1,97,6
24,94,25,1,101,5
24,95,25,1,101,4
24,96,26,1,105,1
24,97,24,1,97,3
24,98,26,1,105,6
24,99,24,1,97,1
24,100,25,1,101,0
24,101,26,1,105,3
24,102,26,1,105,2
24,103,25,1,101,1
24,104,25,1,101,11
24,105,26,1,105,0
24,106,25,1,101,3
24,107,26,1,105,5
24,108,25,1,101,4
24,109,27,1,109,2
24,110,25,1,101,2
24,111,27,1,109,2
24,112,24,1,97,2
24,113,28,1,113,4
24,114,25,1,101,11
24,115,26,1,105,2
24,116,30,1,121,4
24,117,25,1,101,5
24,118,25,1,101,5
24,119,25,1,101,6
24,120,24,1,97,4
24,121,28,1,113,3
24,122,25,1,101,4
24,123,25,1,101,8
24,124,26,1,105,0
24,125,25,1,101,5
24,126,28,1,113,3
24,127,24,1,97,1
24,128,24,1,97,1
24,129,29,1,117,0
24,130,0,0,-1,-1
24,131,25,1,101,4
24,132,25,1,101,4
24,133,28,1,113,4
24,134,28,1,113,2
24,135,27,1,109,0
24,136,24,1,97,3
24,137,29,1,117,5
24,138,25,1,101,5
24,139,26,1,105,3
24,140,25,1,101,0
24,141,25,1,101,4
24,142,26,1,105,1
24,143,27,1,109,2
24,144,24,1,97,1
24,145,24,1,97,3
24,146,25,1,101,3
24,147,25,1,101,6
24,148,25,1,101,1
24,149,25,1,101,5
24,150,28,1,113,2
24,151,27,1,109,5
24,152,24,1,97,3
24,153,26,1,105,6
24,154,26,1,105,1
24,155,24,1,97,3
24,156,25,1,101,5
24,157,25,1,101,5
24,158,29,1,117,8
24,159,29,1,117,3
24,160,25,1,101,7
