state,n,gamma,R,closed,concurrence
Psi+,2,0.6000000000000001,6.661338147750939e-16,0.0,0.39999999999999997
Psi+,2,0.625,1.1102230246251565e-15,0.0,0.37499999686741714
Psi+,2,0.65,8.881784197001252e-16,0.0,0.35
Psi+,2,0.675,1.1102230246251565e-15,0.0,0.3249999977849295
Psi+,2,0.7000000000000001,1.1102230246251565e-15,0.0,0.2999999977849295
Psi+,2,0.7250000000000001,8.881784197001252e-16,0.0,0.2749999977849293
Psi+,2,0.75,8.881784197001252e-16,0.0,0.2500000000000003
Psi+,2,0.775,8.881784197001252e-16,0.0,0.22499999843370858
Psi+,2,0.8,1.5543122344752192e-15,0.0,0.20000000000000037
Psi+,2,0.8250000000000001,1.1102230246251565e-15,0.0,0.17500000000000002
Psi+,2,0.8500000000000001,8.881784197001252e-16,0.0,0.14999999889246465
Psi+,2,0.875,8.881784197001252e-16,0.0,0.12500000000000014
Psi+,2,0.9,6.661338147750939e-16,0.0,0.09999999999999999
Psi+,2,0.925,8.881784197001252e-16,0.0,0.07499999921685416
Psi+,2,0.9500000000000001,4.440892098500626e-16,0.0,0.049999999999999975
Psi+,2,0.9750000000000001,1.1102230246251565e-15,0.0,0.024999999999999863
Psi+,2,1.0,2.220446049250313e-16,0.0,0.0
GHZ3,3,0.0,6.661338147750939e-16,0.0,nan
GHZ3,3,0.025,0.03587598583391194,0.035875985833910606,nan
GHZ3,3,0.05,0.06857046275685219,0.06857046275685164,nan
GHZ3,3,0.07500000000000001,0.0981833878523013,0.09818338785229963,nan
GHZ3,3,0.1,0.12481496824546312,0.12481496824546234,nan
GHZ3,3,0.125,0.1485656783567999,0.14856567835679968,nan
GHZ3,3,0.15000000000000002,0.16953627886989664,0.16953627886989542,nan
GHZ3,3,0.17500000000000002,0.18782783763912958,0.18782783763912914,nan
GHZ3,3,0.2,0.20354175279993347,0.2035417527999327,nan
GHZ3,3,0.225,0.21677977838928952,0.21677977838928653,nan
GHZ3,3,0.25,0.22764405283833056,0.227644052838329,nan
GHZ3,3,0.275,0.23623713076483344,0.23623713076483205,nan
GHZ3,3,0.30000000000000004,0.24266201857385417,0.2426620185738529,nan
GHZ3,3,0.325,0.2470222144739822,0.2470222144739807,nan
GHZ3,3,0.35000000000000003,0.24942175363940633,0.24942175363940577,nan
GHZ3,3,0.375,0.2499652594013102,0.24996525940130926,nan
GHZ3,3,0.4,0.24875800154489092,0.24875800154489003,nan
GHZ3,3,0.42500000000000004,0.24590596303296586,0.24590596303296414,nan
GHZ3,3,0.45,0.24151591679026252,0.24151591679026146,nan
GHZ3,3,0.47500000000000003,0.23569551458747395,0.23569551458747273,nan
GHZ3,3,0.5,0.22855339059327506,0.2285533905932738,nan
GHZ3,3,0.525,0.2201992828621444,0.2201992828621428,nan
GHZ3,3,0.55,0.21074417696247316,0.2107441769624716,nan
GHZ3,3,0.5750000000000001,0.20030047722111344,0.20030047722111255,nan
GHZ3,3,0.6000000000000001,0.1889822128134715,0.18898221281347033,nan
GHZ3,3,0.625,0.17690528838592434,0.17690528838592295,nan
GHZ3,3,0.65,0.16418779240848713,0.16418779240848655,nan
GHZ3,3,0.675,0.1509503815786113,0.1509503815786099,nan
GHZ3,3,0.7000000000000001,0.1373167672515514,0.1373167672515498,nan
GHZ3,3,0.7250000000000001,0.12341434162339704,0.12341434162339578,nan
GHZ3,3,0.75,0.10937500000000133,0.109375,nan
GHZ3,3,0.775,0.09533624603068436,0.09533624603068279,nan
GHZ3,3,0.8,0.08144271909999379,0.08144271909999157,nan
GHZ3,3,0.8250000000000001,0.0678483773217331,0.06784837732173157,nan
GHZ3,3,0.8500000000000001,0.05471975019311137,0.054719750193111205,nan
GHZ3,3,0.875,0.04224104882416024,0.04224104882415922,nan
GHZ3,3,0.9,0.030622776601684665,0.030622776601683784,nan
GHZ3,3,0.925,0.020117720906444703,0.020117720906443714,nan
GHZ3,3,0.9500000000000001,0.01105533988749885,0.011055339887498926,nan
GHZ3,3,0.9750000000000001,0.003937222075211189,0.003937222075210453,nan
GHZ3,3,1.0,4.440892098500626e-16,0.0,nan
Phi+ x 0,3,0.0,6.661338147750939e-16,0.0,nan
Phi+ x 0,3,0.025,0.024375000000000924,0.024375,nan
Phi+ x 0,3,0.05,0.04750000000000121,0.0475,nan
Phi+ x 0,3,0.07500000000000001,0.06937500000000063,0.06937500000000002,nan
Phi+ x 0,3,0.1,0.09000000000000097,0.09000000000000001,nan
Phi+ x 0,3,0.125,0.10937500000000089,0.109375,nan
Phi+ x 0,3,0.15000000000000002,0.12750000000000106,0.1275,nan
Phi+ x 0,3,0.17500000000000002,0.14437500000000125,0.144375,nan
Phi+ x 0,3,0.2,0.16000000000000125,0.16000000000000003,nan
Phi+ x 0,3,0.225,0.17437500000000372,0.174375,nan
Phi+ x 0,3,0.25,0.1875000000000011,0.1875,nan
Phi+ x 0,3,0.275,0.1993750000000012,0.199375,nan
Phi+ x 0,3,0.30000000000000004,0.2100000000000013,0.21000000000000002,nan
Phi+ x 0,3,0.325,0.2193750000000012,0.21937500000000001,nan
Phi+ x 0,3,0.35000000000000003,0.2275000000000007,0.22749999999999998,nan
Phi+ x 0,3,0.375,0.23437500000000133,0.234375,nan
Phi+ x 0,3,0.4,0.2400000000000011,0.24,nan
Phi+ x 0,3,0.42500000000000004,0.24437500000000156,0.244375,nan
Phi+ x 0,3,0.45,0.24750000000000072,0.24750000000000003,nan
Phi+ x 0,3,0.47500000000000003,0.24937500000000123,0.24937499999999999,nan
Phi+ x 0,3,0.5,0.25000000000000133,0.25,nan
Phi+ x 0,3,0.525,0.24937500000000123,0.24937499999999999,nan
Phi+ x 0,3,0.55,0.24750000000000227,0.2475,nan
Phi+ x 0,3,0.5750000000000001,0.24437500000000156,0.24437499999999998,nan
Phi+ x 0,3,0.6000000000000001,0.2400000000000011,0.24,nan
Phi+ x 0,3,0.625,0.23437500000000133,0.234375,nan
Phi+ x 0,3,0.65,0.2275000000000007,0.22749999999999998,nan
Phi+ x 0,3,0.675,0.21937500000000143,0.219375,nan
Phi+ x 0,3,0.7000000000000001,0.2100000000000013,0.20999999999999996,nan
Phi+ x 0,3,0.7250000000000001,0.19937500000000097,0.19937499999999997,nan
Phi+ x 0,3,0.75,0.18750000000000133,0.1875,nan
Phi+ x 0,3,0.775,0.17437500000000128,0.17437499999999997,nan
Phi+ x 0,3,0.8,0.16000000000000236,0.15999999999999998,nan
Phi+ x 0,3,0.8250000000000001,0.14437500000000125,0.14437499999999995,nan
Phi+ x 0,3,0.8500000000000001,0.12750000000000106,0.12749999999999995,nan
Phi+ x 0,3,0.875,0.10937500000000111,0.109375,nan
Phi+ x 0,3,0.9,0.09000000000000097,0.08999999999999998,nan
Phi+ x 0,3,0.925,0.06937500000000107,0.06937499999999996,nan
Phi+ x 0,3,0.9500000000000001,0.04750000000000054,0.04749999999999994,nan
Phi+ x 0,3,0.9750000000000001,0.024375000000000924,0.024374999999999914,nan
