n,alpha,gamma,p0,pn,c,R,neg,R_env,neg_env,purity,purity_env,x,z,p_success,witness
2,0.2,0.1375,0.05815000000000007,0.7141500000000003,0.16901479225203947,0.22172958450407876,0.05516479225203963,0.017588774341229962,2.220446049250313e-16,0.5964472900000005,0.5964472900000006,0.43769206850197956,-0.8494108507056842,0.7723000000000003,0.22172958450407898
2,0.2,0.14,0.058816000000000104,0.710016,0.16852489430348283,0.21941778860696548,0.05294089430348281,0.01723657023834324,1.1102230246251565e-16,0.5911026442240002,0.5911026442240003,0.4383919875954248,-0.846999084325314,0.7688320000000001,0.21941778860696548
2,0.2,0.14250000000000002,0.05949400000000013,0.7058940000000008,0.16803499635492636,0.2170819927098524,0.05072899635492689,0.016860366135456495,5.551115123125783e-16,0.5858187905440014,0.5858187905440015,0.43908448095587116,-0.8445389789231081,0.765388000000001,0.2170819927098524
2,0.2,0.145,0.0601840000000001,0.7017840000000005,0.1675450984063696,0.21472219681273907,0.048529098406369875,0.016460162032569725,4.440892098500626e-16,0.580595233024001,0.5805952330240008,0.4397693824579758,-0.8420301115007452,0.7619680000000006,0.21472219681273885
2,0.2,0.1475,0.06088600000000013,0.6976860000000006,0.16705520045781305,0.21233840091562595,0.046341200457813425,0.016035957929683153,4.440892098500626e-16,0.5754314791840011,0.5754314791840012,0.4404465244111644,-0.8394720606613477,0.7585720000000007,0.21233840091562595
2,0.2,0.15,0.061600000000000085,0.6936000000000004,0.16656530250925633,0.20993060501851257,0.04416530250925654,0.015587753826796336,3.3306690738754696e-16,0.5703270400000008,0.5703270400000008,0.44111573757747935,-0.8368644067796609,0.7552000000000005,0.20993060501851257
2,0.2,0.1525,0.06232600000000009,0.689526,0.16607540456069964,0.20749880912139917,0.04200140456069967,0.015115549723909716,0.0,0.5652814299040001,0.5652814299040001,0.44177685119065885,-0.8342067321760132,0.7518520000000001,0.20749880912139895
2,0.2,0.155,0.0630640000000001,0.6854640000000002,0.16558550661214302,0.20504301322428575,0.03984950661214315,0.01461934562102285,2.220446049250313e-16,0.5602941667840003,0.5602941667840006,0.442429692976463,-0.8314986212940596,0.7485280000000003,0.20504301322428575
2,0.2,0.1575,0.0638140000000001,0.6814139999999999,0.16509560866358636,0.20256321732717253,0.037709608663586414,0.014099141518136182,1.1102230246251565e-16,0.5553647719839999,0.5553647719840001,0.4430740891742832,-0.8287396608823068,0.745228,0.20256321732717253
2,0.2,0.16,0.06457600000000006,0.6773760000000001,0.1646057107150297,0.20005942143005928,0.0355817107150298,0.01355493741524949,2.220446049250313e-16,0.5504927703040002,0.5504927703040003,0.44370986456005146,-0.8259294401794184,0.7419520000000002,0.20005942143005928
