a,kt,gamma,R,neg,margin
1.0,0.775,0.5392962190010342,0.0,-1.6653345369377348e-16,-0.04629009027683081
1.0,0.8,0.5506710358827784,0.0,1.1102230246251565e-16,-0.04294532973589044
1.0,0.8250000000000001,0.5617650075350509,0.0,0.0,-0.03984224993070418
1.0,0.8500000000000001,0.5725850680512734,0.0,4.440892098500626e-16,-0.0369633878538852
1.0,0.875,0.5831379803214916,0.0,6.661338147750939e-16,-0.03429254231407791
1.0,0.9,0.5934303402594009,0.0,0.0,-0.03181468276153202
1.0,0.925,0.6034685809250071,0.0,2.220446049250313e-16,-0.029515864701620688
1.0,0.9500000000000001,0.6132589765454988,0.0,5.551115123125783e-16,-0.027383151220283425
1.0,0.9750000000000001,0.622807646436843,0.0,3.3306690738754696e-16,-0.025404540179767697
1.0,1.0,0.6321205588285577,0.0,1.1102230246251565e-16,-0.023568896674951455
1.0,1.0250000000000001,0.6412035345940484,0.0,7.771561172376096e-16,-0.021865890370136958
1.0,1.05,0.6500622508888447,0.0,6.661338147750939e-16,-0.020285937363668783
1.0,1.075,0.6587022446990063,0.0,4.440892098500626e-16,-0.018820146253212742
1.0,1.1,0.6671289163019205,0.0,8.881784197001252e-16,-0.01746026809816882
1.0,1.125,0.6753475326416503,0.0,3.3306690738754696e-16,-0.016198649997626366
1.0,1.1500000000000001,0.6833632306209468,0.0,4.440892098500626e-16,-0.015028192022613851
1.0,1.175,0.6911810203119801,0.0,3.3306690738754696e-16,-0.013942307260274771
1.0,1.2000000000000002,0.698805788087798,0.0,5.551115123125783e-16,-0.012934884745111171
1.0,1.225,0.7062422996764672,0.0,6.661338147750939e-16,-0.012000255068687479
1.0,1.25,0.7134952031398099,0.0,4.440892098500626e-16,-0.01113315847425601
1.0,1.2750000000000001,0.7205690317785927,0.0,1.1102230246251565e-16,-0.01032871525675452
1.0,1.3,0.7274682069659875,0.0,1.1102230246251565e-16,-0.009582398301596339
1.0,1.3250000000000002,0.7341970409110734,0.0,4.440892098500626e-16,-0.008890007607711838
1.0,1.35,0.7407597393541085,0.0,2.220446049250313e-16,-0.008247646651465903
1.0,1.375,0.7471604041952535,0.0,3.3306690738754696e-16,-0.007651700458437032
1.0,1.4000000000000001,0.7534030360583935,0.0,1.1102230246251565e-16,-0.007098815259652127
1.0,1.425,0.7594915367916579,0.0,5.551115123125783e-16,-0.006585879617791993
1.0,1.4500000000000002,0.7654297119062023,0.0,2.220446049250313e-16,-0.006110006917150508
1.0,1.475,0.7712212729547776,0.0,6.661338147750939e-16,-0.005668519118808809
1.0,1.5,0.7768698398515702,0.0,6.661338147750939e-16,-0.0052589316896037444
1.0,1.5250000000000001,0.7823789431347672,0.0,1.1102230246251565e-16,-0.0048789396200766486
1.0,1.55,0.7877520261732569,0.0,0.0,-0.00452640445271644
